date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day,fx_return_lead1,fx_return_01
2008-02-26,idr,9076,-1.0957812909474285,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.09921182536771768,-1.1949931163151462
2008-02-27,idr,9067,-0.09921182536771768,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.12124553703554142,0.022033711667823738
2008-02-28,idr,9078,0.12124553703554142,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.29786551892403423,-0.17661998188849282
2008-02-29,idr,9051,-0.29786551892403423,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.6168099740648358,0.3189444551408016
2008-03-03,idr,9107,0.6168099740648358,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1208592137446729,0.49595076032016294
2008-03-04,idr,9096,-0.1208592137446729,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.2642009462839212,-0.3850601600285941
2008-03-05,idr,9072,-0.2642009462839212,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0550994559093354,-0.2091014903745858
2008-03-06,idr,9077,0.0550994559093354,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-03-07,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-03-10,idr,9108,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1.4064009408981448,NA
2008-03-11,idr,9237,1.4064009408981448,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.9135463207831762,0.4928546201149686
