date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day
2006-03-13,idr,9245,-0.646902525512516,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-14,idr,9210,-0.3793014571872533,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-15,idr,9143,-0.7301291084926831,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-16,idr,9143,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-17,idr,9170,0.2948727086085512,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-20,idr,9130,-0.4371591661497476,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-21,idr,9130,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-22,idr,9120,-0.10958905206361892,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-23,idr,9090,-0.32948958968539444,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-24,idr,9110,0.21978030824794104,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-27,idr,9095,-0.1647899301779887,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-28,idr,9030,-0.7172444541192036,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-29,idr,9075,0.4971012722020163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-30,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-03-31,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-03,idr,9045,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-04,idr,9010,-0.3877047227010877,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-05,idr,8995,-0.16662042177504333,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-06,idr,9000,0.05557099337227811,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-07,idr,9005,0.05554012916988427,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-10,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
