date,country,fx_lcu_per_usd,fx_return_usd,fx_return_cny,shock_1y,shock_5y,shock_1y_roll,shock_5y_roll,n_events_roll,max_roll_days,ret_cny,d_vix,ret_broad_dollar,ret_brent,d_ust_2y,event_day,event_day_roll,post_split,usd_w0,usd_w01,usd_wm11,usd_w5p1,usd_w5m0,cny_w0,cny_w01,cny_wm11,cny_w5p1,cny_w5m0,ctrl_dollar_w01,ctrl_vix_w01,ctrl_brent_w01,ctrl_ust2y_w01,ctrl_cny_w01
2008-01-02,idr,9370,NA,NA,0,0,0,0,0,NA,0,0.6700000000000017,-0.3117637949581642,3.49293466837306,-16.999999999999993,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4466035308362315,-0.010000000000001563,4.966408579567272,-21.999999999999975,-0.26218091764544926
2008-01-03,idr,9413,0.4578616314752537,0.7200425491206808,0,0,0,0,0,NA,-0.26218091764544926,-0.6800000000000033,-0.1348397358780673,1.473473911194212,-4.999999999999982,0,0,0,0.4578616314752537,0.5746530658900184,NA,NA,NA,0.7200425491206808,0.9193365664208031,NA,NA,NA,-0.11724650149584903,0.7699999999999996,-0.14441925348984697,-13.999999999999968,-0.34468350053076247
2008-01-04,idr,9424,0.1167914344147647,0.1992940173001223,0,0,0,0,0,NA,-0.0825025828853132,1.4500000000000028,0.01759323438221827,-1.6178931646840589,-8.999999999999986,0,0,0,0.1167914344147647,0.43462198059618373,0.8924836120714374,NA,NA,0.1992940173001223,0.5033694052754889,1.2234119543961697,NA,NA,0.38120254570461753,1.3000000000000007,-4.423478625040822,-7.000000000000028,-0.06874742467930517
2008-01-07,idr,9454,0.31783054618141904,0.3040753879753666,0,0,0,0,0,NA,0.013755158206008034,-0.15000000000000213,0.36360931132239926,-2.805585460356763,1.9999999999999574,0,0,0,0.31783054618141904,0.32840752011900065,0.44519895453376535,NA,NA,0.3040753879753666,0.36280369560337533,0.5620977129034976,NA,NA,0.104263209631128,1.4899999999999984,-0.5174923575097523,1.9999999999999574,-0.034396175484441294
2008-01-08,idr,9455,0.010576973937581613,0.058728307628008736,0,0,0,0,0,NA,-0.04815133369044933,1.6400000000000006,-0.25934610169127126,2.288093102847011,0,0,0,0,0.010576973937581613,0.11628522902409344,0.4341157752055125,NA,NA,0.058728307628008736,0.22637950836150722,0.5304548963368738,NA,NA,0.12150459647459755,0.33000000000000185,2.691966690710057,-6.999999999999984,-0.11009427933736937
2008-01-09,idr,9465,0.10570825508651183,0.16765120073349848,0,0,0,0,0,NA,-0.061942945646920045,-1.3099999999999987,0.3808506981658688,0.40387358786304617,-6.999999999999984,0,0,0,0.10570825508651183,NA,NA,NA,NA,0.16765120073349848,NA,NA,NA,NA,0.3160443036003713,-1.9800000000000004,-3.77483100710414,-4.999999999999982,0.04127399109290497
2008-01-10,idr,NA,NA,NA,0,0,0,0,0,NA,0.10321693673982502,-0.6700000000000017,-0.06480639456549753,-4.178704594967186,2.0000000000000018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17767643687571777,-0.4400000000000013,-5.1968006844179016,-10.000000000000009,-0.013770311230798526
2008-01-11,idr,NA,NA,NA,0,0,0,0,0,NA,-0.11698724797062354,0.23000000000000043,-0.11287004231022024,-1.0180960894507152,-12.00000000000001,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38871469730947794,-0.5500000000000007,-0.23735041890304842,-12.99999999999999,-0.23962662782190947
2008-01-14,idr,9427,NA,NA,0,0,0,0,0,NA,-0.12263937985128592,-0.7800000000000011,-0.2758446549992577,0.7807456705476667,-0.9999999999999787,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40967837147567465,-0.33999999999999986,-1.0835765190392088,-6.000000000000005,-0.3725169870722578
2008-01-15,idr,9431,0.04242231477356029,0.2922999219943989,0,0,0,0,0,NA,-0.24987760722097185,0.4400000000000013,-0.13383371647641695,-1.8643221895868756,-5.000000000000027,0,0,0,0.04242231477356029,0.14839943363664787,NA,NA,NA,0.2922999219943989,0.32228132059497483,NA,NA,NA,0.44170068180449107,1.4800000000000004,-4.960060266099031,-7.000000000000028,-0.17388188695837137
2008-01-16,idr,9441,0.10597711886308758,0.029981398600575915,0,0,0,0,0,NA,0.07599572026260049,1.0399999999999991,0.575534398280908,-3.0957380765121556,-2.0000000000000018,0,0,0,0.10597711886308758,0.1483365391724334,0.19075885394599368,NA,NA,0.029981398600575915,0.28665871351956085,0.5789586355139598,NA,NA,0.551331652768372,5.120000000000001,-2.124308320498347,-8.999999999999986,-0.13832217434701644
2008-01-17,idr,9445,0.04235942030934581,0.25667731491898493,-0.02,-0.05,-0.02,-0.05,1,0,-0.21431789460961692,4.080000000000002,-0.024202745512535984,0.9714297560138085,-6.999999999999984,1,1,0,0.04235942030934581,0.38059037376783067,0.48656749263091825,NA,NA,0.25667731491898493,0.34744669562103425,0.37742809422161017,NA,NA,0.25527748543812123,2.8000000000000007,1.7552205785159813,-14.999999999999991,0.03314367814684083
2008-01-18,idr,9477,0.33823095345848486,0.09076938070204932,0,0,0,0,0,NA,0.24746157275645775,-1.2800000000000011,0.2794802309506572,0.7837908225021728,-8.000000000000007,0,0,0,0.33823095345848486,0.08466504897750582,0.12702446928685163,NA,NA,0.09076938070204932,NA,NA,NA,NA,0.3097317301319791,NA,NA,NA,NA
2008-01-21,idr,9453,-0.25356590448097904,NA,0,0,0,0,0,NA,NA,NA,0.03025149918132186,NA,NA,0,0,0,-0.25356590448097904,0.09492169673332995,0.4331526501918148,NA,NA,NA,NA,NA,NA,NA,-0.0659844587706182,NA,NA,NA,NA
2008-01-22,idr,9486,0.348487601214309,NA,0,0,0,0,0,NA,NA,NA,-0.09623595795194007,NA,NA,0,0,0,0.348487601214309,-0.5303364148307566,-0.7839023193117356,-0.25491251190725706,0.6239115041378085,NA,NA,NA,NA,NA,-0.014123641943530885,NA,NA,NA,NA
2008-01-23,idr,9403,-0.8788240160450655,-0.8015058479473147,0,0,0,0,0,NA,-0.07731816809766201,-1.990000000000002,0.08211231600840918,-1.198849775448707,0.9999999999999787,0,0,0,-0.8788240160450655,-1.2837691559338893,-0.9352815547195803,-0.7022799665696411,-0.29733482668081734,-0.8015058479473147,-0.9685992840324786,NA,NA,NA,-0.7115639122782014,-3.2300000000000004,-0.4778166087374025,16.999999999999993,-0.31516987190132184
2008-01-24,idr,9365,-0.40494513988882375,-0.16709343608516392,0,0,0,0,0,NA,-0.23785170380365983,-1.2399999999999984,-0.7936762282866106,0.7210331667113046,16.000000000000014,0,0,0,-0.40494513988882375,-0.6401387484121557,-1.5189627644572212,-1.0434506939560606,-0.8082570854327287,-0.16709343608516392,-0.24571551279244375,-1.0472213607397585,NA,NA,-0.7764137249789194,0.05999999999999872,4.382231331812925,14.000000000000012,-0.39442323561971193
2008-01-25,idr,9343,-0.23519360852333193,-0.07862207670727983,0,0,0,0,0,NA,-0.1565715318160521,1.2999999999999972,0.01726250330769119,3.66119816510162,-2.0000000000000018,0,0,0,-0.23519360852333193,-0.19238996956048027,-0.597335109449304,-1.0430064753025547,-1.0858101142654064,-0.07862207670727983,0.19324493246521968,0.02615149638005576,NA,NA,-0.2778426616949048,0,3.606213834250216,-4.999999999999982,-0.38563490202572215
2008-01-28,idr,9347,0.042803638962851664,0.2718670091724995,0,0,0,0,0,NA,-0.22906337020967005,-1.2999999999999972,-0.295105165002596,-0.054984330851404195,-2.9999999999999805,0,0,0,0.042803638962851664,-0.10708932272081029,-0.3422829312441422,-1.5311303904447016,-1.3812374287610396,0.2718670091724995,0.10112840936304934,0.022506332655769512,NA,NA,-0.4315585352722806,-1.759999999999998,1.6680681123887986,6.000000000000005,-0.20821773208394845
2008-01-29,idr,9333,-0.14989296168366195,-0.17073859980945016,0,0,0,0,0,NA,0.0208456381257216,-0.46000000000000085,-0.13645337026968463,1.7230524432402028,8.999999999999986,0,0,0,-0.14989296168366195,-0.4611020984084391,-0.4182984594455874,-1.5887736226884996,-1.2775644859637225,-0.17073859980945016,-0.40827369218048304,-0.13640668300798353,NA,NA,-0.2378170583150485,-0.16000000000000014,1.6906112426312347,9.999999999999964,-0.05282840622786722
