date,country,fx_lcu_per_usd,fx_return_usd,fx_return_cny,shock_1y,shock_5y,shock_1y_roll,shock_5y_roll,n_events_roll,max_roll_days,ret_cny,d_vix,ret_broad_dollar,ret_brent,d_ust_2y,event_day,event_day_roll,post_split,usd_w0,usd_w01,usd_wm11,cny_w0,cny_w01,cny_wm11,ctrl_dollar_w01,ctrl_vix_w01,ctrl_brent_w01,ctrl_ust2y_w01,ctrl_cny_w01
2006-01-02,idr,9795,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-03,idr,9775,-0.20439455250755856,NA,0,0,0,0,0,NA,NA,NA,-0.6526172027723653,NA,NA,0,0,0,-0.20439455250755856,-1.2843741931302333,NA,NA,NA,NA,-1.1770366933971488,NA,NA,NA,NA
2006-01-04,idr,9670,-1.0799796406226747,-1.0799796406226747,0,0,0,0,0,NA,0,0.22999999999999865,-0.5244194906247834,-0.4235913795440638,-3.000000000000025,0,0,0,-1.0799796406226747,-1.2870190520533953,-1.4914136045609538,-1.0799796406226747,-1.2572755891994802,NA,-0.4542048543721755,0.16999999999999993,0.2759966034797223,-1.9999999999999574,-0.029743462854048275
2006-01-05,idr,9650,-0.20703941143072058,-0.17729594857680553,0,0,0,0,0,NA,-0.029743462854048275,-0.05999999999999872,0.07021463625260793,0.6995879830237861,1.0000000000000675,0,0,0,-0.20703941143072058,NA,NA,-0.17729594857680553,NA,NA,-0.2044415549513623,-0.3699999999999992,1.9082079648816475,5.000000000000071,-0.048337620623239985
2006-01-06,idr,NA,NA,NA,0,0,0,0,0,NA,-0.01859415776919171,-0.3100000000000005,-0.2746561912039702,1.2086199818578613,4.0000000000000036,0,0,0,NA,NA,NA,NA,NA,NA,-0.11951401721663757,-0.17999999999999972,1.3366814688646755,4.0000000000000036,-0.016114736961769793
2006-01-09,idr,9460,NA,NA,0,0,0,0,0,NA,0.002479420807421917,0.13000000000000078,0.15514217398733265,0.1280614870068142,0,0,0,0,NA,NA,NA,NA,NA,NA,0.11939989738296575,-0.14000000000000057,-0.17635275111604898,4.999999999999982,-0.06572706145235863
2006-01-10,idr,NA,NA,NA,0,0,0,0,0,NA,-0.06820648225978054,-0.27000000000000135,-0.03574227660436691,-0.30441423812286317,4.999999999999982,0,0,0,NA,NA,NA,NA,NA,NA,-0.3083225470295048,-0.19000000000000128,-1.56391740498254,8.000000000000007,0.02107259516805904
2006-01-11,idr,9500,NA,NA,0,0,0,0,0,NA,0.08927907742783958,0.08000000000000007,-0.2725802704251379,-1.2595031668596768,3.000000000000025,0,0,0,NA,NA,NA,NA,NA,NA,-0.07921765739213882,0.33999999999999986,1.0058358927863331,-2.000000000000046,0.09299730978060694
2006-01-12,idr,9385,-1.2179128568021724,-1.2216310891551174,0,0,0,0,0,NA,0.003718232352767359,0.2599999999999998,0.19336261303299906,2.26533905964601,-5.000000000000071,0,0,0,-1.2179128568021724,-1.1646505386323724,NA,-1.2216310891551174,-1.1844795137871955,NA,0.09657799423106184,0.2900000000000009,0.0649772602458576,-10.000000000000053,0.01982897515482307
2006-01-13,idr,9390,0.05326231816979998,0.03715157536792191,0,0,0,0,0,NA,0.01611074280205571,0.030000000000001137,-0.09678461880193723,-2.2003617994001523,-4.999999999999982,0,0,0,0.05326231816979998,-0.1599573788142905,-1.377870235616463,0.03715157536792191,NA,NA,-0.09278339842913041,NA,-0.9737486151164987,NA,NA
2006-01-16,idr,9370,-0.2132196969840905,NA,0,0,0,0,0,NA,NA,NA,0.004001220372806813,1.2266131842836536,NA,0,0,0,-0.2132196969840905,0.8483613977816162,0.9016237159514162,NA,NA,NA,0.27690637945561036,NA,2.6283564291117223,NA,NA
2006-01-17,idr,9470,1.0615810947657067,NA,0,0,0,0,0,NA,NA,NA,0.27290515908280355,1.4017432448280687,NA,0,0,0,1.0615810947657067,1.3252248013918333,1.1120051044077428,NA,NA,NA,0.4361719660766816,NA,2.0010196006885472,NA,NA
2006-01-18,idr,9495,0.2636437066261266,0.25248859478468333,0,0,0,0,0,NA,0.01115511184157647,0.33999999999999986,0.16326680699387808,0.5992763558604786,0,0,0,0,0.2636437066261266,0.10554090689431916,1.1671220016600259,0.25248859478468333,0.09190705028903068,NA,-0.058374234373204104,0.07000000000000028,0.6621496682114092,4.0000000000000036,0.013633856605332895
2006-01-19,idr,9480,-0.1581027997318074,-0.16058154449565265,0,0,0,0,0,NA,0.002478744763756424,-0.2699999999999996,-0.22164104136708218,0.06287331235093063,4.0000000000000036,0,0,0,-0.1581027997318074,NA,NA,-0.16058154449565265,NA,NA,-0.5060162501903775,2.3100000000000005,2.054227230031369,4.0000000000000036,-0.1103663903796015
2006-01-20,idr,NA,NA,NA,0,0,0,0,0,NA,-0.11284513514335792,2.58,-0.28437520882329537,1.9913539176804385,0,0,0,0,NA,NA,NA,NA,NA,NA,-0.8096674644662016,1.9499999999999993,1.4352820492107732,-2.000000000000046,-0.05206654718072912
2006-01-23,idr,9415,NA,NA,0,0,0,0,0,NA,0.060778587962628805,-0.6300000000000008,-0.5252922556429063,-0.5560718684696653,-2.000000000000046,0,0,0,NA,NA,NA,NA,NA,NA,-0.5604167542345273,-1.25,-1.7089121796292517,0,0.035975462641690825
2006-01-24,idr,9440,0.26518180482941744,0.289984930150311,0,0,0,0,0,NA,-0.02480312532093798,-0.6199999999999992,-0.035124498591621034,-1.1528403111595864,2.000000000000046,0,0,0,0.26518180482941744,0.5296622552169339,NA,0.289984930150311,0.5482640224385271,NA,-0.03049420256386881,-1.0600000000000005,-3.0670014204474683,11.000000000000032,-0.018601767221504417
2006-01-25,idr,9465,0.26448045038751644,0.2582790922882161,0,0,0,0,0,NA,0.006201358099433563,-0.4400000000000013,0.004630296027752223,-1.9141611092878819,8.999999999999986,0,0,0,0.26448045038751644,-0.9045020431356576,-0.6393202383062402,0.2582790922882161,-0.8983003004439993,-0.6083153702936883,0.1372073494429138,-0.8900000000000006,-1.4043623311255082,12.00000000000001,-0.006201742691702705
2006-01-26,idr,9355,-1.168982493523174,-1.1565793927322154,0,0,0,0,0,NA,-0.012403100791136268,-0.4499999999999993,0.13257705341516157,0.5097987781623736,3.000000000000025,0,0,0,-1.168982493523174,-1.0087688410955309,-0.7442883907080144,-1.1565793927322154,-0.9814799884224179,-0.7232008961342018,0.2967971130106051,-0.8999999999999986,3.6692733359389607,4.999999999999982,-0.027288852673112984
2006-01-27,idr,9370,0.16021365242764318,0.17509940430979754,0,0,0,0,0,NA,-0.014885751881976717,-0.4499999999999993,0.1642200595954435,3.159474557776587,1.9999999999999574,0,0,0,0.16021365242764318,NA,NA,0.17509940430979754,NA,NA,0.2355491359386619,-0.02999999999999936,3.451580230924467,2.999999999999936,-0.014885751881976717
2006-01-30,idr,NA,NA,NA,0,0,0,0,0,NA,0,0.41999999999999993,0.07132907634321839,0.29210567314787994,0.9999999999999787,0,0,0,NA,NA,NA,NA,NA,NA,-0.2131867084549377,0.97999999999999865,-2.7471682331244196,3.000000000000025,0
2006-01-31,idr,NA,NA,NA,0,0,0,0,0,NA,0,0.5599999999999987,-0.2845157847981561,-3.0392739062722995,2.000000000000046,0,0,0,NA,NA,NA,NA,NA,NA,-0.10154139085134517,-0.030000000000001137,0.7646466373802951,7.000000000000028,0.009924080790169043
