date,idr,myr,php,sgd,thb,ret_idr,ret_myr,ret_php,ret_sgd,ret_thb
2006-01-02,9795,NA,53.062,NA,NA,NA,NA,NA,NA,NA
2006-01-03,9775,NA,52.903,1.6574,40.893,-0.20439455250755856,NA,-0.3000993145452657,NA,NA
2006-01-04,9670,3.7748,52.652,1.6476,NA,-1.0799796406226747,NA,-0.47558234681446265,-0.5930425853016397,NA
2006-01-05,9650,3.7659,52.43,1.6465,NA,-0.20703941143072058,-0.23605246549056602,-0.42252779787199657,-0.06678607455066765,NA
2006-01-06,NA,3.7555,52.469,1.6479,NA,NA,-0.2765444366205738,0.07435724229387652,0.08499272002653879,NA
2006-01-09,9460,3.7485,52.646,1.6347,39.802,NA,-0.18656721829497513,0.33677432771721527,-0.8042448759521981,NA
2006-01-10,NA,NA,52.421,NA,39.878,NA,NA,-0.42829878829628854,NA,0.19076311005861157
2006-01-11,9500,3.7503,52.549,1.6366,39.873,NA,NA,0.2438793244589288,NA,-0.012539027740210429
2006-01-12,9385,3.7418,52.65,1.6247,NA,-1.2179128568021724,-0.22690577133088752,0.19201709338059203,-0.7297735757576695,NA
2006-01-13,9390,3.7423,52.453,1.6308,NA,0.05326231816979998,0.01336166007253059,-0.3748708042591975,0.37475086093937127,NA
2006-01-16,9370,3.7364,52.44,1.6254,39.56,-0.2132196969840905,-0.15778146533498294,-0.024787164189365996,-0.3316752625993957,NA
2006-01-17,9470,3.749,52.453,1.6321,39.726,1.0615810947657067,0.3366556737218307,0.024787164189365996,0.41135898375457836,0.41873784162524963
2006-01-18,9495,3.755,52.615,1.6333,39.625,0.2636437066261266,0.15991474623231472,0.30837196553830104,0.07349789024433395,-0.25456529733194344
2006-01-19,9480,3.7545,52.772,1.6313,NA,-0.1581027997318074,-0.013316465829649182,0.29794968287544243,-0.12252651168366269,NA
2006-01-20,NA,3.748,52.823,1.6325,NA,NA,-0.17327561816258275,0.09659549025151648,0.07353392083292443,NA
2006-01-23,9415,3.75,52.867,1.6217,39.12,NA,0.05334756061436963,0.08326237589546537,-0.6637600425257517,NA
2006-01-24,9440,3.7485,52.867,1.6223,NA,0.26518180482941744,-0.040008002133973264,0,0.03699136910246259,NA
2006-01-25,9465,3.75,52.747,1.6235,NA,0.26448045038751644,0.040008002133973264,-0.22724269820142418,0.07394171265473481,NA
2006-01-26,9355,3.748,52.556,1.6209,NA,-1.168982493523174,-0.05334756061436963,-0.3627630921410052,-0.16027620247708319,NA
2006-01-27,9370,3.751,52.431,1.6244,38.7374,0.16021365242764318,0.08001067235745563,-0.23812483272416252,0.2156966294012963,NA
2006-01-30,NA,NA,52.435,NA,38.8141,NA,NA,0.00762878340343498,NA,0.19780410439085294
2006-01-31,NA,NA,52.336,NA,39.078,NA,NA,-0.18898364903403575,NA,0.6776066115772306
2006-02-01,9320,NA,52.167,1.6231,NA,NA,NA,-0.3234359727986469,NA,NA
2006-02-02,9335,NA,52.081,1.6317,NA,0.16081482961869398,NA,-0.16499121231903224,0.5284515185999872,NA
2006-02-03,9310,3.7525,52.097,1.6326,NA,-0.26816857047116116,NA,0.0307166582691476,0.055141992023094444,NA
2006-02-06,9280,3.7409,51.949,1.627,NA,-0.3227544490865597,-0.30960603373819673,-0.2844897445728023,-0.3436007798217844,NA
2006-02-07,9220,3.7348,51.698,1.6319,NA,-0.6486509229606696,-0.1631954560464388,-0.4843372035240101,0.30071519178510586,NA
2006-02-08,9230,3.735,51.673,1.6309,NA,0.1084010946257763,0.005354895714693164,-0.048369466266962036,-0.061297047401676075,NA
2006-02-09,NA,3.73,51.759,1.6321,NA,NA,-0.13395849290565032,0.1662928683931586,0.07355194937780918,NA
2006-02-10,9200,NA,51.856,1.6299,NA,NA,NA,0.1872316331354984,-0.13488659310632034,NA
2006-02-13,9230,3.723,51.499,1.6292,NA,0.3255564459765381,NA,-0.6908256393750811,-0.042956645132952165,NA
2006-02-14,9233,3.723,51.555,1.6283,NA,0.03249742757294172,0,0.10868089644664458,-0.05525710040828469,NA
2006-02-15,9215,3.722,51.568,1.6293,NA,-0.19514316687025968,-0.026863667052090534,0.025212610317471018,0.061394893873462086,NA
2006-02-16,9220,3.724,51.55,1.631,NA,0.054244644671541664,0.05372011947617494,-0.034911461011288836,0.10428489121045992,NA
2006-02-17,9225,3.723,51.639,1.636,NA,0.05421523580881882,-0.02685645242408441,0.17249904945098038,0.306091454167845,NA
2006-02-20,9230,3.7195,51.777,1.6301,39.322,0.05418585881695748,-0.09405442413208398,0.2668834259897057,-0.3612875550448147,NA
2006-02-21,9240,3.7208,51.908,1.63,NA,0.1082837138831394,0.0349448278491149,0.2526885657608169,-0.0061347811436185395,NA
2006-02-22,9265,3.7195,51.959,1.6294,NA,0.27019740837310735,-0.0349448278491149,0.0982025168698275,-0.03681659242665836,NA
2006-02-23,9335,3.7195,51.734,1.6313,NA,0.7526917256363674,0,-0.4339740447766971,0.11653940657155304,NA
2006-02-24,NA,3.7153,51.77,1.6264,NA,NA,-0.11298220387299107,0.0695625317894688,-0.30082596281200136,NA
2006-02-27,9270,3.7135,52.009,1.6233,NA,NA,-0.04846004833150008,0.4605949614611582,-0.19078689973376362,NA
2006-02-28,9230,3.7135,52.088,1.6247,39.309,-0.43243310630032283,0,0.15178154061392668,0.08620690189053981,NA
2006-03-01,9170,3.7115,51.725,1.6197,NA,-0.6521762246386231,-0.05387205517495275,-0.6993372302953826,-0.3082236443353703,NA
2006-03-02,9200,3.7093,51.43,1.619,NA,0.326619778662085,-0.05929280035719131,-0.5719563844782005,-0.0432272214715812,NA
2006-03-03,9195,NA,51.26,1.6196,NA,-0.05436259987110503,NA,-0.3310938850900058,0.037053048037088976,NA
2006-03-06,9197,3.7063,51.192,1.6233,NA,0.021748586427605687,NA,-0.13274510987657528,0.22819091587932272,NA
2006-03-07,9195,3.7093,51.102,1.6265,38.918,-0.021748586427605687,0.08091051738665644,-0.17596344501602523,0.19693525966069103,NA
2006-03-08,9280,3.7172,50.963,1.6314,38.134,0.9201688741825365,0.2127517129154599,-0.27237561541171296,0.3008074953073814,-2.035059589371091
2006-03-09,9370,3.725,51.313,1.6317,NA,0.9651549452220465,0.20961551304756743,0.6844252146663621,0.018387423054472274,NA
