date,datetime,shock_1y,shock_5y,isMain,isBroad,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF
2011-05-13,2011-05-12T18:30:00Z,0.12,0.01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2011-06-14,2011-06-14T15:18:00Z,0.18,0.12,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2011-07-07,2011-07-06T18:32:00Z,-0.06,-0.04,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2011-12-01,2011-11-30T19:03:00Z,-0.2,-0.11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-02-19,2012-02-18T20:00:00Z,-0.12,-0.075,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-05-10,2012-05-10T12:00:00Z,-0.05,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-05-13,2012-05-12T19:00:00Z,-0.15,-0.09,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-06-08,2012-06-07T19:00:00Z,-0.17,-0.21,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2012-07-03,2012-07-03T12:00:00Z,-0.02,-0.03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-07-05,2012-07-05T12:00:00Z,0,0.02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-07-06,2012-07-05T19:00:00Z,-0.11,-0.09,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2012-07-10,2012-07-10T12:00:00Z,0,-0.03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-07-19,2012-07-19T12:00:00Z,0.03,0.03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-08-21,2012-08-21T12:00:00Z,0.07,0.03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012-09-06,2012-09-06T12:00:00Z,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013-07-30,2013-07-30T12:00:00Z,-0.01,0.01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013-08-06,2013-08-06T12:00:00Z,-0.05,-0.04,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013-08-13,2013-08-13T12:00:00Z,0.0467,0.0983,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013-10-29,2013-10-29T12:00:00Z,0.0925,0.08,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-04-22,2014-04-22T15:30:00Z,-0.02,0.02,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-06-10,2014-06-09T18:51:00Z,-0.04,-0.03,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-11-22,2014-11-22T10:51:00Z,-0.23,-0.26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-01-22,2015-01-22T12:00:00Z,0.055,0.02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-05,2015-02-04T18:21:00Z,-0.025,-0.01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-01,2015-03-01T15:38:00Z,0.055,0.02,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-03-03,2015-03-03T12:00:00Z,0,-0.0033,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-17,2015-03-17T12:00:00Z,-0.12,-0.0983,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-24,2015-03-24T12:00:00Z,-0.0617,-0.01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-07,2015-04-07T12:00:00Z,-0.075,-0.0333,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-14,2015-04-14T12:00:00Z,-0.045,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-20,2015-04-19T17:01:00Z,-0.2483,-0.1917,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-05-12,2015-05-11T18:18:00Z,-0.1,-0.035,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-06-25,2015-06-25T12:00:00Z,-0.08,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-06-28,2015-06-28T15:44:00Z,-0.0467,-0.01,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-06-30,2015-06-30T12:00:00Z,-0.0833,-0.0483,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-08-26,2015-08-25T18:15:00Z,-0.15,-0.07,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-08-27,2015-08-27T12:00:00Z,-0.03,-0.005,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-10-24,2015-10-23T19:17:00Z,-0.09,-0.07,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-10-27,2015-10-27T12:00:00Z,-0.04,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2016-03-01,2016-02-29T18:00:00Z,-0.01,-0.005,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-02-03,2017-02-03T12:00:00Z,0.145,0.17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-03-16,2017-03-16T12:00:00Z,0.12,0.01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-10-01,2017-09-30T17:00:00Z,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-12-14,2017-12-14T12:00:00Z,-0.06,-0.05,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-03-22,2018-03-22T12:00:00Z,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
