observation_date,DTWEXAFEGS
2007-01-08,97.2838
2007-01-09,97.5050
2007-01-10,97.6881
2007-01-11,97.8126
2007-01-12,97.5064
2007-01-15,97.5064
2007-01-16,97.6527
2007-01-17,97.4532
2007-01-18,97.6145
2007-01-19,97.4200
2007-01-22,97.5822
2007-01-23,97.4649
2007-01-24,97.7102
2007-01-25,97.5656
2007-01-26,97.9719
2007-01-29,97.9394
2007-01-30,97.8911
2007-01-31,97.6169
2007-02-01,97.3608
2007-02-02,97.8152
2007-02-05,97.7876
2007-02-06,97.6304
2007-02-07,97.5974
2007-02-08,97.6946
2007-02-09,97.5731
2007-02-12,97.7885
2007-02-13,97.3916
2007-02-14,96.8493
2007-02-15,96.6607
2007-02-16,96.6338
2007-02-19,96.6338
2007-02-20,96.8920
2007-02-21,96.7945
2007-02-22,96.8023
2007-02-23,96.5588
2007-02-26,96.5695
2007-02-27,96.1360
2007-02-28,96.3361
2007-03-01,96.4601
2007-03-02,96.5169
2007-03-05,96.9746
2007-03-06,96.8399
2007-03-07,96.7492
2007-03-08,96.9966
2007-03-09,96.8747
2007-03-12,96.5356
2007-03-13,96.3919
2007-03-14,96.3969
2007-03-15,96.4308
2007-03-16,96.1029
2007-03-19,96.2353
2007-03-20,95.8608
2007-03-21,95.7233
2007-03-22,95.4989
2007-03-23,95.7622
2007-03-26,95.6980
2007-03-27,95.5412
2007-03-28,95.5218
2007-03-29,95.6038
2007-03-30,95.3113
2007-04-02,95.3327
2007-04-03,95.5680
2007-04-04,95.5704
2007-04-05,95.2112
2007-04-06,95.4669
2007-04-09,95.5616
2007-04-10,95.1380
2007-04-11,95.0621
2007-04-12,94.6565
2007-04-13,94.6062
2007-04-16,94.3464
2007-04-17,94.0514
2007-04-18,93.9488
2007-04-19,93.8780
2007-04-20,93.7795
2007-04-23,93.8103
2007-04-24,93.7144
2007-04-25,93.4178
2007-04-26,93.9211
2007-04-27,93.6475
2007-04-30,93.3002
2007-05-01,93.5760
2007-05-02,93.6600
2007-05-03,93.7464
2007-05-04,93.6523
2007-05-07,93.4088
2007-05-08,93.7168
2007-05-09,93.6702
2007-05-10,93.9217
2007-05-11,94.0595
2007-05-14,93.8385
2007-05-15,93.3700
2007-05-16,93.8729
2007-05-17,93.9020
2007-05-18,93.5642
2007-05-21,93.7307
2007-05-22,93.6531
2007-05-23,93.4351
2007-05-24,93.6616
2007-05-25,93.5083
2007-05-28,93.5083
2007-05-29,93.2389
2007-05-30,93.5027
2007-05-31,93.2613
2007-06-01,93.0520
2007-06-04,92.7408
2007-06-05,92.6626
2007-06-06,92.6510
2007-06-07,92.9050
2007-06-08,93.3204
2007-06-11,93.3112
2007-06-12,93.4398
2007-06-13,93.7015
2007-06-14,93.8094
2007-06-15,93.6626
2007-06-18,93.6661
2007-06-19,93.3182
2007-06-20,93.2845
2007-06-21,93.6001
2007-06-22,93.3505
2007-06-25,93.3986
2007-06-26,93.2396
2007-06-27,93.3283
2007-06-28,92.9909
2007-06-29,92.8838
2007-07-02,92.1627
2007-07-03,92.3280
2007-07-04,92.3280
2007-07-05,92.3799
2007-07-06,92.0934
2007-07-09,92.0783
2007-07-10,91.7724
2007-07-11,91.7224
2007-07-12,91.4698
2007-07-13,91.3651
2007-07-16,91.2100
2007-07-17,91.2458
2007-07-18,91.0677
2007-07-19,91.0807
2007-07-20,90.9297
2007-07-23,91.0082
2007-07-24,90.6694
2007-07-25,91.1402
2007-07-26,91.1957
2007-07-27,91.7188
2007-07-30,91.9176
2007-07-31,91.7539
2007-08-01,91.5692
2007-08-02,91.4872
2007-08-03,91.0906
2007-08-06,91.0497
2007-08-07,91.3880
2007-08-08,91.1274
2007-08-09,91.5298
2007-08-10,91.4602
2007-08-13,91.6647
2007-08-14,92.1795
2007-08-15,92.7274
2007-08-16,92.7212
2007-08-17,92.0908
2007-08-20,92.0532
2007-08-21,92.0732
2007-08-22,92.0025
2007-08-23,91.8070
2007-08-24,91.4472
2007-08-27,91.3859
2007-08-28,91.6063
2007-08-29,91.4574
2007-08-30,91.5122
2007-08-31,91.5279
2007-09-03,91.5279
2007-09-04,91.4830
2007-09-05,91.1715
2007-09-06,91.1684
2007-09-07,90.7666
2007-09-10,90.6565
2007-09-11,90.2991
2007-09-12,89.9770
2007-09-13,90.0422
2007-09-14,90.1439
2007-09-17,90.1993
2007-09-18,90.0359
2007-09-19,89.5846
2007-09-20,88.4992
2007-09-21,88.6579
2007-09-24,88.5537
2007-09-25,88.3999
2007-09-26,88.6544
2007-09-27,88.5605
2007-09-28,87.9732
2007-10-01,87.9297
2007-10-02,88.3283
2007-10-03,88.3987
2007-10-04,88.4327
2007-10-05,87.8764
2007-10-08,87.8764
2007-10-09,88.1970
2007-10-10,87.9138
2007-10-11,87.6406
2007-10-12,87.7444
2007-10-15,87.6356
2007-10-16,87.8217
2007-10-17,87.5544
2007-10-18,87.1888
2007-10-19,86.9143
2007-10-22,87.7260
2007-10-23,86.9941
2007-10-24,87.0383
2007-10-25,86.7829
2007-10-26,86.3682
2007-10-29,86.1572
2007-10-30,86.0476
2007-10-31,85.8320
2007-11-01,85.8697
2007-11-02,85.3468
2007-11-05,85.2869
2007-11-06,84.7607
2007-11-07,84.0329
2007-11-08,84.2899
2007-11-09,84.4917
2007-11-12,84.4917
2007-11-13,85.4384
2007-11-14,85.3443
2007-11-15,85.9670
2007-11-16,85.7465
2007-11-19,85.9520
2007-11-20,85.6016
2007-11-21,85.5278
2007-11-22,85.5278
2007-11-23,85.4646
2007-11-26,85.2895
2007-11-27,85.7315
2007-11-28,85.9094
2007-11-29,85.9032
2007-11-30,86.4715
2007-12-03,86.4166
2007-12-04,86.4354
2007-12-05,86.9871
2007-12-06,87.0664
2007-12-07,86.8684
2007-12-10,86.8052
2007-12-11,86.9002
2007-12-12,86.9287
2007-12-13,87.5533
2007-12-14,87.9458
2007-12-17,87.9228
2007-12-18,87.9809
2007-12-19,88.0913
2007-12-20,87.8578
2007-12-21,87.8163
2007-12-24,87.5815
2007-12-25,87.5815
2007-12-26,87.1790
2007-12-27,86.8099
2007-12-28,86.3280
2007-12-31,86.7551
2008-01-01,86.7551
2008-01-02,86.3002
2008-01-03,86.2660
2008-01-04,86.2296
2008-01-07,86.7741
2008-01-08,86.4981
2008-01-09,86.9843
2008-01-10,86.9073
2008-01-11,86.8980
2008-01-14,86.5892
2008-01-15,86.4083
2008-01-16,87.1279
2008-01-17,87.0635
2008-01-18,87.3420
2008-01-21,87.3420
2008-01-22,87.2275
2008-01-23,87.2517
2008-01-24,86.3216
2008-01-25,86.4592
2008-01-28,86.0606
2008-01-29,85.9869
2008-01-30,85.8431
2008-01-31,85.8322
2008-02-01,85.6177
2008-02-04,85.6348
2008-02-05,86.5284
2008-02-06,86.4352
2008-02-07,87.1529
2008-02-08,86.8310
2008-02-11,86.7832
2008-02-12,86.4501
2008-02-13,86.7111
2008-02-14,86.3805
2008-02-15,86.3959
2008-02-18,86.3959
2008-02-19,86.6382
2008-02-20,87.0320
2008-02-21,86.2394
2008-02-22,86.2924
2008-02-25,85.9326
2008-02-26,85.3894
2008-02-27,84.3229
2008-02-28,83.9797
2008-02-29,83.9950
2008-03-03,84.0903
2008-03-04,84.2049
2008-03-05,83.9999
2008-03-06,83.5329
2008-03-07,83.6891
2008-03-10,83.6574
2008-03-11,83.8748
2008-03-12,83.2160
2008-03-13,82.5941
2008-03-14,82.5822
2008-03-17,82.2625
2008-03-18,82.1848
2008-03-19,83.0255
2008-03-20,84.1378
2008-03-21,84.0596
2008-03-24,84.2646
2008-03-25,83.5713
2008-03-26,83.0747
2008-03-27,82.9597
2008-03-28,83.2141
2008-03-31,83.3916
2008-04-01,84.0911
2008-04-02,83.9275
2008-04-03,83.4339
2008-04-04,83.2544
2008-04-07,83.5060
2008-04-08,83.6979
2008-04-09,83.4691
2008-04-10,83.5319
2008-04-11,83.4699
2008-04-14,83.3105
2008-04-15,83.4461
2008-04-16,82.5902
2008-04-17,82.9648
2008-04-18,83.5946
2008-04-21,83.1338
2008-04-22,82.5904
2008-04-23,83.4489
2008-04-24,83.9285
2008-04-25,84.0389
2008-04-28,83.9655
2008-04-29,83.9556
2008-04-30,84.0263
2008-05-01,84.5242
2008-05-02,84.7322
2008-05-05,84.4441
2008-05-06,83.9733
2008-05-07,84.5223
2008-05-08,84.5817
2008-05-09,84.1809
2008-05-12,83.9631
2008-05-13,84.0715
2008-05-14,84.3532
2008-05-15,84.1404
2008-05-16,83.6746
2008-05-19,83.8460
2008-05-20,83.3053
2008-05-21,82.8168
2008-05-22,83.0619
2008-05-23,82.8114
2008-05-26,82.8114
2008-05-27,83.1797
2008-05-28,83.4192
2008-05-29,83.6682
2008-05-30,83.7407
2008-06-02,83.8823
2008-06-03,84.3026
2008-06-04,84.5404
2008-06-05,84.5645
2008-06-06,84.0048
2008-06-09,84.1991
2008-06-10,85.0397
2008-06-11,84.5467
2008-06-12,85.2856
2008-06-13,85.5079
2008-06-16,85.0484
2008-06-17,84.9487
2008-06-18,84.9292
2008-06-19,84.6996
2008-06-20,84.4538
2008-06-23,84.8540
2008-06-24,84.4834
2008-06-25,84.6178
2008-06-26,83.9888
2008-06-27,83.7929
2008-06-30,83.9826
2008-07-01,83.9484
2008-07-02,83.5182
2008-07-03,84.2212
2008-07-04,84.2212
2008-07-07,84.4460
2008-07-08,84.4979
2008-07-09,83.9632
2008-07-10,83.8897
2008-07-11,83.4170
2008-07-14,83.2773
2008-07-15,82.8972
2008-07-16,83.0907
2008-07-17,83.1823
2008-07-18,83.4189
2008-07-21,83.2852
2008-07-22,83.6730
2008-07-23,83.9619
2008-07-24,84.2311
2008-07-25,84.3190
2008-07-28,84.2418
2008-07-29,84.8615
2008-07-30,84.8855
2008-07-31,84.8798
2008-08-01,84.8945
2008-08-04,85.3023
2008-08-05,85.7715
2008-08-06,86.2016
