period,term,coef,se,pval,nobs
pre,beta_USD,0.3063965744928508,0.44443420498476355,0.4906533686439907,7898
pre,beta_CNY,0.6742939945786651,0.3098090508180609,0.029645989981813625,7898
pre,beta_cross,-0.3678974200858144,0.4571080489118814,0.42101779244548676,7898
post,beta_USD,-1.5181596869271503,0.5442615491363622,0.005366724965682412,4734
post,beta_CNY,-1.6235855286366319,1.2135243008440875,0.18118707676421575,4734
post,beta_cross,0.10542584170948105,1.1029073964648268,0.9238634219984707,4734
