shock,matching,coef,se,pval,finding,detail
1Y,exact,0.39666177287827264,1.9783662907936428,0.8411034128964914,"whole-sample average, NOT a post-2015 phenomenon","pre/post interaction on the basket outcome is not statistically detectable (p = 0.841); the beta_basket result documented elsewhere is a full-sample average effect, not evidence of a regime break"
1Y,rolled,0.18899464800536392,1.841472042245644,0.9182616069209499,"whole-sample average, NOT a post-2015 phenomenon","pre/post interaction on the basket outcome is not statistically detectable (p = 0.918); the beta_basket result documented elsewhere is a full-sample average effect, not evidence of a regime break"
5Y,exact,-1.04299392261732,1.8996376575834082,0.5830127693096082,"whole-sample average, NOT a post-2015 phenomenon","pre/post interaction on the basket outcome is not statistically detectable (p = 0.583); the beta_basket result documented elsewhere is a full-sample average effect, not evidence of a regime break"
5Y,rolled,-1.2595508700301594,1.7635948308218847,0.47516208005620775,"whole-sample average, NOT a post-2015 phenomenon","pre/post interaction on the basket outcome is not statistically detectable (p = 0.475); the beta_basket result documented elsewhere is a full-sample average effect, not evidence of a regime break"
