mediator,path_a,path_b,path_b_lo,path_b_hi,indirect_ab,indirect_lo,indirect_hi,n_dates,n_boot_ok
AFE dollar,-3.411494093654677,0.3040279238496023,0.2550716058730182,0.3472548486279433,-1.0371894665190122,-2.206710505883812,0.07497697526007449,1158,2000
Broad dollar,-2.3980020457972016,0.441320759663201,0.39209698529323544,0.4886029951674858,-1.058288084525131,-2.4476579491491317,-0.23526096626882886,1158,2000
