shock,matching,estimator,term,coef,se,pval,n
1Y,exact,date-level OLS,interaction,-2.7659697187086714,2.1538428898208672,0.19917048769342882,3001
1Y,exact,"panel, country FE, clustered",interaction,-2.554002297965064,1.9354794566955262,0.18707902788193,12611
1Y,rolled,date-level OLS,interaction,-2.264540470483881,2.023063176432551,0.26307534736113464,3001
1Y,rolled,"panel, country FE, clustered",interaction,-2.0810407544980243,1.7576199495171856,0.23650264558417697,12611
5Y,exact,date-level OLS,interaction,-0.9064729315418539,2.2000779429032447,0.6803552904478586,3001
5Y,exact,"panel, country FE, clustered",interaction,-0.46207508637560113,1.7777325364243513,0.7949403496427598,12611
5Y,rolled,date-level OLS,interaction,-0.27302295075222993,2.1076318247793298,0.8969389473140276,3001
5Y,rolled,"panel, country FE, clustered",interaction,-0.0449050946118994,1.6372576779423813,0.9781209739260919,12611
