shock,matching,F_stat,df1,df2,pval
1Y,exact,6.965153069220311,2,3093,9.591000916128719e-4
1Y,rolled,4.0465674558710605,2,3093,0.017574917166374677
5Y,exact,4.936838108085135,2,3093,0.007233914320376082
5Y,rolled,2.3234843360352633,2,3093,0.09810267312678025
