shock,matching,contrast,term,coef,se,pval,nobs
1Y,exact,R2 - R1,shock_1y,-0.32048817370401383,0.6669696880292788,0.6309172017998261,8188
1Y,exact,R3 - R2,shock_1y,-2.025680016762889,0.813945177002601,0.01288623458946322,10302
1Y,rolled,R2 - R1,shock_1y_roll,-0.5550913460130634,0.5380732249052713,0.3023773532020011,8188
1Y,rolled,R3 - R2,shock_1y_roll,-1.691067599244828,0.8648386670093109,0.050654303009547444,10302
5Y,exact,R2 - R1,shock_5y,-0.23561053813261446,0.6721974705731638,0.7259962783814198,8188
5Y,exact,R3 - R2,shock_5y,-1.4207241671076773,0.51719838455461,0.006058912773762762,10302
5Y,rolled,R2 - R1,shock_5y_roll,-0.3800489548999778,0.6524278939337471,0.5602888245946598,8188
5Y,rolled,R3 - R2,shock_5y_roll,-1.1817980796342458,0.6365454350437397,0.06349047333051151,10302
