series,country,N,mean,sd,min,max
"usd_w01 ([0,+1] FX return, LCU per USD)",idr,2389,0.03767227765462552,0.8467697190383316,-13.649315688214436,16.43790873202242
"usd_w01 ([0,+1] FX return, LCU per USD)",myr,2673,0.019614646632359834,0.6401091888374005,-4.763086411832118,2.8209051594802137
"usd_w01 ([0,+1] FX return, LCU per USD)",php,2591,0.013617739599199092,0.4712831440543335,-2.149282061822788,2.0417240109467105
"usd_w01 ([0,+1] FX return, LCU per USD)",sgd,2794,0.0022257771974790014,0.4927600415157155,-3.116646908536852,3.0620216176749784
"usd_w01 ([0,+1] FX return, LCU per USD)",thb,2570,0.0028806167359845597,0.43333417890939946,-3.104006254718472,1.7234098495235717
"D_w01 (AFE dollar factor [0,+1] return)","(all -- single series, not country-varying)",3007,0.014541983694963012,0.6707184031995049,-4.6384318131540425,3.2909188541102807
