shock,matching,term,coef,se,pval
1Y,exact,interaction (shock x post_split),-1.8987179128497624,0.7126023088818927,0.0077506856522711
1Y,exact,pre-split coefficient (main term),0.38263314430493023,0.4487497688705252,0.3939112423544793
1Y,rolled,interaction (shock x post_split),-1.6453923700530853,0.8287434997922536,0.04718751438634222
1Y,rolled,pre-split coefficient (main term),0.2277886094345624,0.37324626008326467,0.5417143061251206
5Y,exact,interaction (shock x post_split),-1.2789785255255168,0.45527148499085324,0.00499666699658849
5Y,exact,pre-split coefficient (main term),0.19418739998105705,0.2741537910611978,0.4788027002041486
5Y,rolled,interaction (shock x post_split),-1.1048794326922529,0.6065037139253783,0.06859418198730828
5Y,rolled,pre-split coefficient (main term),0.11387940749828569,0.2672426896620932,0.670044745259553
