term,coef,se,pval,nobs
no controls,-1.834372642592542,0.7065367365852514,0.009471283153554829,12311
broad dollar (contains RMB + ASEAN),-0.9263589548937724,0.653491055977107,0.15642840612663292,12311
AFE dollar (excludes RMB + ASEAN),-1.0180340276358606,0.8027814398532697,0.20485208093334278,12311
AFE dollar + UST2Y + VIX + oil,-1.5642628478439102,0.6779061409345165,0.021097511684398766,12311
