spec,term,coef,se,pval,nobs
(1) baseline,shock_1y x post_split,-2.1938046452523308,0.659205190530633,8.850988127395453e-4,13017
(2) excl. FOMC-adjacent,shock_1y x post_split,-1.8305653733923142,0.6151442040605895,0.0029446530020898593,12973
(3) excl. 2020,shock_1y x post_split,-1.8346197574899326,0.69118610679677706,0.007989251289092223,12662
