shock,matching,term,coef,se,pval,nobs
1Y,exact,shock,0.4219731116435514,0.3827352854191352,0.27032166844398037,13017
1Y,exact,announcement_day_dummy,0.01162664542258975,0.04494279932820825,0.7958849079643199,13017
1Y,rolled,shock,0.31576352348493214,0.3509719694023531,0.36835899690778806,13017
1Y,rolled,announcement_day_dummy,0.01713463018008429,0.03991099020707188,0.6677194666478736,13017
5Y,exact,shock,0.24356242267794184,0.301983873110394,0.41999289596815415,13017
5Y,exact,announcement_day_dummy,0.004028789719676881,0.04405547610537957,0.9271424629776637,13017
5Y,rolled,shock,0.18880569952279191,0.2916642801332611,0.5174605264336025,13017
5Y,rolled,announcement_day_dummy,0.01299942129551164,0.039850960414228774,0.7442943884510548,13017
