spec,coef,se,pval,nobs,n_dates
Baseline FE (all dates),0.3986218926531819,0.37294934487838843,0.2852267325215778,13017,NA
Event-subset FE (nonzero surprise only),0.41557338023358226,0.39280912142786023,0.2947016786061034,244,56
