window,term,coef,se,pval,nobs
[0],beta_USD    (LCU per USD),0.07824379303668225,0.27441455172150697,0.7755640870236594,13371
[0],beta_D      (AFE index's own response),-1.3020317448745482,0.45066157510010574,0.0038901548647115453,13371
[0],beta_basket (LCU per AFE-basket unit),1.3802755379112317,0.5408739682578612,0.01076124552357621,13371
"[0,+1]",beta_USD    (LCU per USD),0.356087801835015,0.3793185005936807,0.347931222877642,12611
"[0,+1]",beta_D      (AFE index's own response),-1.1796581181341095,0.6075324248884486,0.05226445942183422,12611
"[0,+1]",beta_basket (LCU per AFE-basket unit),1.535745919969124,0.8251605111318757,0.06282101297461931,12611
"[-1,+1]",beta_USD    (LCU per USD),0.8363734850844338,0.4508339647952649,0.0636712279997315,11884
"[-1,+1]",beta_D      (AFE index's own response),-0.6691182115724292,0.5938353615167441,0.25992928357102957,11884
"[-1,+1]",beta_basket (LCU per AFE-basket unit),1.5054916966568639,0.5992868762388387,0.012052917486723422,11884
