shock,period,term,coef,se,pval,nobs
1Y,full,shock_1y,1.535745919969124,0.8251605111318757,0.06282101297461931,12611
1Y,pre-split,shock_1y,1.4847747976511676,0.9198912120731572,0.10668210872707683,7912
1Y,post-split,shock_1y,1.9026930134547373,1.750872471147677,0.277390733271957,4699
5Y,full,shock_5y,1.290382144600962,0.8194354406895951,0.11542631603215343,12611
5Y,pre-split,shock_5y,1.4318673455605153,0.8992812310801654,0.1115034178807636,7912
5Y,post-split,shock_5y,0.4095872497946416,1.6744284958570144,0.8067993447489075,4699
1Y,interaction,shock_1y,0.39666177287827264,1.9783662907936428,0.8411034128964914,12611
5Y,interaction,shock_5y,-1.04299392261732,1.8996376575834082,0.5830127693096082,12611
