period,term,coef,se,pval
full,shock_1y:country::sgd,-1.196478972209616,0.6662681362078862,0.0726251761027906
pre,shock_1y:country::sgd,-1.187779571309394,0.7033172771538859,0.09141660223249912
post,shock_1y:country::sgd,-0.4607442817992071,1.4608871416556006,0.7525235967080857
