window,coef,se,pval,n
w0,-2.9734418805752183,1.1516875015465025,0.009949215719323116,1170
w01,-3.6412044616161676,1.665992480686723,0.029044155863154265,1160
wm11,-4.454377989536013,2.0632951681085894,0.031067068566600003,1151
