numeraire,period,term,coef,se,pval,nobs
LCU per USD,full,shock_1y,0.39862189265318176,0.37294934487838843,0.2852267325215779,13017
LCU per USD,pre-split,shock_1y,0.6774748937968375,0.3583413150346491,0.05883125673810269,8188
LCU per USD,post-split,shock_1y,-1.5029510243588502,0.5505651384019957,0.006430430449487023,4829
LCU per CNY,full,shock_1y,-0.2809903119941993,0.4232712380512087,0.5068346600018516,12632
LCU per CNY,pre-split,shock_1y,-0.3678974200858144,0.4571080489118814,0.42101779244548676,7898
LCU per CNY,post-split,shock_1y,0.10542584170948105,1.1029073964648268,0.9238634219984707,4734
