window,term,coef,se,pval,nobs
[0],beta_USD   (LCU per USD),0.0766649586888891,0.27431129772745905,0.7798942678795399,13398
[0],"beta_CNY   (CNY per USD, RMB's own response)",0.025914662199760886,0.2960223524892727,0.9302457321659223,13398
[0],beta_cross (LCU per CNY),0.05075029648912835,0.39575480371240074,0.8979701240302402,13398
"[0,+1]",beta_USD   (LCU per USD),-0.02731974025366726,0.396139584820637,0.9450221187726446,12632
"[0,+1]","beta_CNY   (CNY per USD, RMB's own response)",0.2536705717405324,0.3859554934435143,0.511068294616536,12632
"[0,+1]",beta_cross (LCU per CNY),-0.2809903119941993,0.4232712380512087,0.5068346600018516,12632
"[-1,+1]",beta_USD   (LCU per USD),0.39698388550877217,0.5159047522594908,0.4416632824170508,11899
"[-1,+1]","beta_CNY   (CNY per USD, RMB's own response)",-0.43269205861242604,0.49900085550624407,0.3859480290398998,11899
"[-1,+1]",beta_cross (LCU per CNY),0.8296759441211954,0.7349058850106558,0.2590078403368355,11899
