dropped_date,shock_dropped,coef,se,pval
2015-08-26,-0.15,-1.8404314370561143,0.5957675305989667,0.002053837040185642
2015-08-27,-0.03,-1.5583739539402184,0.5549136096166688,0.005061849563817023
2015-10-27,-0.04,-1.458082615078949,0.5554486851898878,0.008775028464302635
2016-03-01,-0.01,-1.5614163918018407,0.551435598956166,0.004710678287588569
2017-02-03,0.145,-1.4989757009339035,0.6954210814551869,0.03132408844991057
2017-03-16,0.12,-1.0820021185394149,0.431400163951672,0.012270441141718352
2017-12-14,-0.06,-1.5974803581620236,0.5661546296750047,0.004857778744020682
2018-04-18,-0.1025,-1.6311327831247098,0.6026291535507703,0.006893313852336267
2018-06-25,-0.015,-1.47989239559211,0.550048226341557,0.007235293776712264
2019-01-03,0.005,-1.4835049665618631,0.5505998561272113,0.0071524181960193065
2019-05-06,-0.045,-1.4746442109298967,0.5551401807731414,0.008005333676405482
2019-11-05,-0.07,-1.6095667629197798,0.5664412433949843,0.004566505476797837
2019-11-18,-0.0725,-1.5974893882249985,0.5695973598765495,0.00512030049440842
2020-01-23,-0.0075,-1.5027493451659157,0.5507095698447196,0.006451513885875388
2020-02-03,-0.13,-1.4588502752353159,0.6290687793384171,0.020560999900757822
2020-03-30,-0.045,-1.405190096515509,0.5474733738531543,0.01038961353770397
2020-04-03,-0.05625,-1.5301076049911042,0.5609865220179439,0.006475287702452521
2020-04-15,-0.0525,-1.3044289800742463,0.5190633205212551,0.012101310510784915
