spec,coef,se,pval,nobs
"R1, all 8 events",0.8247368537777349,0.2999187124648441,0.00613140510613466,2715
"R1, excl. 26 Nov 2008 (RRR + rate cut, largest surprise)",0.018584741913537928,0.47641954675847786,0.9688953202281951,2710
