spec,term,coef,se,pval,nobs,r2,wr2
(1) no controls,shock_1y,0.30884286746599793,0.4441454260074993,0.48688274973459744,12311,9.792675008115648e-4,5.23074584844796e-4
(1) no controls,post_split,-0.017759308240631468,0.01592746877151613,0.2649379550955902,12311,9.792675008115648e-4,5.23074584844796e-4
(1) no controls,shock_1y:post_split,-1.834372642592542,0.7065367365852514,0.009471283153554829,12311,9.792675008115648e-4,5.23074584844796e-4
(2) + UST 2Y,shock_1y,0.3132918008389636,0.4452155051180997,0.4816849981377336,12311,0.001005135744313268,5.489546408234958e-4
(2) + UST 2Y,post_split,-0.01764648405364355,0.015936247325871126,0.2682485575156587,12311,0.001005135744313268,5.489546408234958e-4
(2) + UST 2Y,ctrl_ust2y_w01,-5.066561108256222e-4,0.0014132047577934779,0.7199835073064706,12311,0.001005135744313268,5.489546408234958e-4
(2) + UST 2Y,shock_1y:post_split,-1.8516326218426609,0.7087762021526681,0.009036342561517745,12311,0.001005135744313268,5.489546408234958e-4
(3) + UST 2Y + AFE dollar,shock_1y,0.38091538125879176,0.5166556456704899,0.4610170243280659,12311,0.08671069858879321,0.08629365408112843
(3) + UST 2Y + AFE dollar,post_split,-0.013396246339141526,0.014474296234274167,0.3547726492390174,12311,0.08671069858879321,0.08629365408112843
(3) + UST 2Y + AFE dollar,ctrl_ust2y_w01,-0.00264334450180055,0.00134726570851776,0.049857197334114305,12311,0.08671069858879321,0.08629365408112843
(3) + UST 2Y + AFE dollar,ctrl_afe_w01,0.25564012675581294,0.01591300831946608,1.063015387431714e-55,12311,0.08671069858879321,0.08629365408112843
(3) + UST 2Y + AFE dollar,shock_1y:post_split,-1.1026552881190148,0.8133221306949845,0.17528671117364925,12311,0.08671069858879321,0.08629365408112843
(4) + UST 2Y + AFE dollar + VIX + Brent,shock_1y,0.452991414169736,0.52263421677858235,0.38615258978593714,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,post_split,-0.014785473126293414,0.014226096176119056,0.2987423559765318,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,ctrl_ust2y_w01,6.598306723495415e-4,0.001370440667573107,0.6302164370664216,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,ctrl_afe_w01,0.22868538835154814,0.016735802665143202,3.0499560232005704e-41,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,ctrl_vix_w01,0.019528009288573657,0.0049445900169474075,8.022265465145538e-5,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,ctrl_brent_w01,-0.005915092547104074,0.002175135011180173,0.006578739943492476,12311,0.0962085739587284,0.09579586656171568
(4) + UST 2Y + AFE dollar + VIX + Brent,shock_1y:post_split,-1.5642628478439087,0.6779061409345162,0.02109751168439882,12311,0.0962085739587284,0.09579586656171568
(5) + UST 2Y + broad dollar [misspecified],shock_1y,0.36782298716587214,0.493944038009624,0.4565344179144133,12311,0.13173322128415454,0.13133673586524985
(5) + UST 2Y + broad dollar [misspecified],post_split,-0.015363200369249904,0.013633150946369944,0.2598779187404683,12311,0.13173322128415454,0.13133673586524985
(5) + UST 2Y + broad dollar [misspecified],ctrl_ust2y_w01,-3.447692081172636e-4,0.0012776457741924192,0.7872969644448468,12311,0.13173322128415454,0.13133673586524985
(5) + UST 2Y + broad dollar [misspecified],ctrl_dollar_w01,0.40200188949331916,0.018544934837506247,1.0715032899971224e-96,12311,0.13173322128415454,0.13133673586524985
(5) + UST 2Y + broad dollar [misspecified],shock_1y:post_split,-0.9381430847196656,0.6564530920134553,0.15308058345811934,12311,0.13173322128415454,0.13133673586524985
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],shock_1y,0.3946565978913435,0.4964432096777124,0.42669701685881856,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],post_split,-0.01578222578076743,0.013561598257372123,0.24462359352100058,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],ctrl_ust2y_w01,7.167970704075743e-4,0.001283292621188369,0.5765045600536846,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],ctrl_dollar_w01,0.3859839292770859,0.020062600628232837,9.97398429287013e-78,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],ctrl_vix_w01,0.007277809469953451,0.005011230330612172,0.14652640676329906,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],ctrl_brent_w01,-0.0014660797754316025,0.0018558074936257211,0.42959492151325795,12311,0.13277796909633388,0.13238196075116293
(6) + UST 2Y + broad dollar + VIX + Brent [misspecified],shock_1y:post_split,-1.1212153125543374,0.6428269987724708,0.08123112827247483,12311,0.13277796909633388,0.13238196075116293
