shock,h,coef,se,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
1Y,0,0.07750410103880223,0.2738219247900138,0.7771607584401471,-0.3729329652407705,0.5279411673183749,-0.4591868715496249,0.6141950736272294,13662
1Y,1,0.39862189265316333,0.37294934487837433,0.28522673252158215,-0.21487977967176247,1.012123564978089,-0.3323588233084504,1.129602608614777,13017
1Y,2,0.760162607696813,0.4840792495505248,0.11644165955998148,-0.03614775781380031,1.5564729732074263,-0.18863272142221554,1.7089579368158416,12400
1Y,3,0.04935915848809801,0.3888067997571647,0.8989879920528719,-0.5902280271124379,0.688946344088634,-0.7127021690359447,0.8114204860121408,11816
1Y,4,0.09493370703956802,0.7045531147718921,0.8928238016467992,-1.0640561667601947,1.2539235808393305,-1.2859903979133405,1.4758578119924763,11263
1Y,5,0.6216670061162056,0.829793603921958,0.45380491243226717,-0.7433434723354152,1.9866774845678266,-1.004728457570832,2.2480624698032434,10728
1Y,6,0.8010860124760665,0.7438875374610421,0.2816146778337751,-0.4226089866473478,2.024781011599481,-0.656933560947576,2.259105585899709,10213
1Y,7,1.208843607828536,0.7321669174209177,0.09883322952280015,0.0044290286711266,2.4132581869859457,-0.22620355031646255,2.6438907659735347,9718
1Y,8,0.6789430348091936,0.9443826073093909,0.47224188291383873,-0.8745663542147546,2.232452423833142,-1.1720468755172126,2.5299329451355996,9246
1Y,9,0.045903781732027665,0.9950042220921576,0.9632063742188419,-1.5908781636095717,1.6826857270736268,-1.904304493568601,1.9961120570326563,8800
1Y,10,-0.5398831935650512,1.0809515218341215,0.6174989380737621,-2.318048446982181,1.2382820598520785,-2.6585481763599295,1.578781789229827,8382
5Y,0,-0.11260365898243836,0.3156625156896371,0.7213244690173999,-0.6318684972918914,0.4066611793270147,-0.7313021897341271,0.5060948717692503,13662
5Y,1,0.2373939401289513,0.3060139659609537,0.4379489624627404,-0.26599903387681756,0.7407869141347202,-0.3623934331545179,0.8371813134124205,13017
5Y,2,0.4212390341517371,0.48033929673319453,0.3805758743908715,-0.3689191089743679,1.211397177277842,-0.5202259874453241,1.3627040557487984,12400
5Y,3,-8.97617942471284e-6,0.4165835717653301,0.9999828092762362,-0.6852889517333928,0.6852709993745433,-0.8165127768394718,0.8164948244806223,11816
5Y,4,0.2740032673605925,0.8511644244080254,0.7475384443549511,-1.1261622107906093,1.6741687455117944,-1.3942790044791373,1.9422855392003224,11263
5Y,5,0.9597936929865989,1.0093958635524571,0.3417510699447228,-0.7006625025571931,2.620249888530391,-1.018622199576217,2.938209585549415,10728
5Y,6,1.2278435881550862,0.9165323318567605,0.1804558371832124,-0.2798520977492849,2.735539274059457,-0.5685597822841644,3.024246958594337,10213
5Y,7,1.3459456896718869,0.8387884720676876,0.10868040492787412,-0.0338613468794593,2.725752726223233,-0.29807971558078084,2.9899710949245546,9718
5Y,8,0.9083612568389757,0.9141854809382904,0.32048443693242556,-0.595473859304512,2.4121963729824634,-0.8834422858000736,2.700164799478025,9246
5Y,9,0.321719616020036,1.0449051597371697,0.7581851027505522,-1.3971493717476082,2.0405886037876804,-1.7262944970648164,2.3697337291048886,8800
5Y,10,-0.13313798339033384,1.1438647185099713,0.9073490303942979,-2.0147954453392365,1.748519478558569,-2.3751128316698775,2.10883686488921,8382
